,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
57,186.0,효성티앤씨,322500.0,2000.0,+0.62%,5000.0,13957.0,4328.0,11.56,10133.0,14.98,7.46,
58,187.0,에스디바이오센서,11000.0,0.0,0.00%,500.0,13692.0,124477.0,6.71,96332.0,-2.66,-16.22,
59,188.0,DGB금융지주,8050.0,90.0,-1.11%,5000.0,13616.0,169146.0,46.03,572756.0,3.51,6.73,
60,189.0,종근당,102800.0,1500.0,+1.48%,2500.0,13543.0,13174.0,13.43,27135.0,6.37,29.56,
61,190.0,대웅제약,114700.0,2200.0,+1.96%,2500.0,13290.0,11587.0,9.56,23366.0,10.92,17.7,
65,191.0,솔루엠,26000.0,0.0,0.00%,500.0,13001.0,50006.0,21.14,234165.0,10.8,34.83,
66,192.0,녹십자,110700.0,700.0,-0.63%,5000.0,12937.0,11687.0,18.61,16274.0,-48.57,-2.03,
67,193.0,KBSTAR 200,37505.0,395.0,-1.04%,0.0,12920.0,34450.0,0.07,560563.0,,,
68,194.0,DL이앤씨,33350.0,1900.0,-5.39%,5000.0,12904.0,38694.0,29.11,181509.0,7.62,4.12,
69,195.0,TIGER MSCI Korea TR,15885.0,105.0,-0.66%,0.0,12724.0,80100.0,0.0,3522.0,,,
73,196.0,TIGER 2차전지테마,23545.0,540.0,-2.24%,0.0,12655.0,53750.0,0.19,424227.0,,,
74,197.0,코리안리,7650.0,220.0,-2.80%,500.0,12651.0,165368.0,26.12,545459.0,4.46,9.51,
75,198.0,두산퓨얼셀,19310.0,140.0,+0.73%,100.0,12647.0,65494.0,11.88,137082.0,-185.67,-1.64,
76,199.0,KODEX 삼성그룹,9510.0,110.0,-1.14%,0.0,12639.0,132900.0,13.56,126194.0,,,
77,200.0,KODEX Top5PlusTR,22905.0,200.0,-0.87%,0.0,12598.0,55000.0,9.09,17395.0,,,
1,201.0,LX세미콘,76700.0,700.0,+0.92%,500.0,12475.0,16264.0,26.43,65764.0,12.33,10.5,
2,202.0,GS건설,14480.0,130.0,-0.89%,5000.0,12392.0,85581.0,17.83,469417.0,-2.57,-10.54,
3,203.0,KODEX 2차전지산업,19575.0,470.0,-2.34%,0.0,12332.0,63000.0,0.05,1566162.0,,,
4,204.0,대덕전자,24800.0,400.0,-1.59%,500.0,12255.0,49417.0,9.06,603325.0,50.3,2.95,
5,205.0,세방전지,87500.0,300.0,+0.34%,500.0,12250.0,14000.0,28.05,62646.0,10.48,9.29,
